timestamp,link,rank,total_responses,offer_type,roommates,prijs,huurtoeslag
2021-06-01 19:43:18.335482,https://www.room.nl/aanbod/studentenwoningen/details/44146-weteringkade-139--2-denhaag,4,4,Direct offer,3 bewoners,"478,60",Geen huurtoeslag
2021-06-01 19:43:26.817146,https://www.room.nl/aanbod/studentenwoningen/details/40033-isacdacostalaan-403-k2-delft,4,4,Direct offer,3 bewoners,"478,99",Geen huurtoeslag
2021-06-01 19:43:34.023209,https://www.room.nl/aanbod/studentenwoningen/details/40531-isacdacostalaan-421-k2-delft,5,5,Direct offer,3 bewoners,"478,99",Geen huurtoeslag
2021-06-01 19:43:41.811984,https://www.room.nl/aanbod/studentenwoningen/details/40558-isacdacostalaan-405-k2-delft,3,3,Direct offer,3 bewoners,"478,99",Geen huurtoeslag
2021-06-01 19:43:49.477343,https://www.room.nl/aanbod/studentenwoningen/details/44280-waldorpstraat-47-6-c-denhaag,6,6,Direct offer,3 bewoners,"480,25",Geen huurtoeslag
2021-06-01 19:43:56.895941,https://www.room.nl/aanbod/studentenwoningen/details/44190-groenewegje-133--8-denhaag,5,5,Direct offer,6 bewoners,"486,89",Geen huurtoeslag
2021-06-01 19:44:04.790752,https://www.room.nl/aanbod/studentenwoningen/details/44162-groenewegje-133--11-denhaag,3,3,Direct offer,6 bewoners,"489,08",Geen huurtoeslag
2021-06-01 19:44:13.950696,https://www.room.nl/aanbod/studentenwoningen/details/44188-groenewegje-133--12-denhaag,1,1,Direct offer,6 bewoners,"489,08",Geen huurtoeslag
2021-06-01 19:44:21.004933,https://www.room.nl/aanbod/studentenwoningen/details/37708-lisztstraat-79-k2-delft,13,14,Direct offer,3 bewoners,"491,72",Geen huurtoeslag
2021-06-01 19:44:29.061613,https://www.room.nl/aanbod/studentenwoningen/details/39785-lisztstraat-99-k2-delft,2,2,Direct offer,3 bewoners,"491,72",Geen huurtoeslag
2021-06-01 19:44:36.586078,https://www.room.nl/aanbod/studentenwoningen/details/39802-csarfranckstraat-190-k2-delft,2,2,Direct offer,3 bewoners,"491,72",Geen huurtoeslag
2021-06-01 19:52:47.038529,https://www.room.nl/aanbod/studentenwoningen/details/37614-balthasarvanderpolweg-174--ab-delft,12,92,Inschrijfduur,2 bewoners,"351,94",Geen huurtoeslag
2021-06-01 19:53:02.455907,https://www.room.nl/aanbod/studentenwoningen/details/40889-csarfranckstraat-188-k1-delft,12,12,Direct offer,3 bewoners,"448,32",Geen huurtoeslag
2021-06-01 19:55:18.020161,https://www.room.nl/aanbod/studentenwoningen/details/45276-galgewater-1-leiden,1,1,Inschrijfduur,zelfstandig,"795,00",Geen huurtoeslag
